city_code
neuvy le barrois
saulzais le potier
ainay le vieil
epineuil le fleuriel
marseilles les aubigny
ourouer les bourdelins
ermenonville la petite
levesville la chenard
louville la chenard
nogent le roi
rueil la gadeliere
tremblay les villages
bouges le chateau
cours les barres
ivoy le pre
neuillay les bois
betz le chateau
chambray les tours
epeigne les bois
joue les tours
nouans les fontaines
verneuil le chateau
landes le gaulois
oucques la nouvelle
beauce la romaine
beauce la romaine
beauce la romaine
vievy le raye
yvoy le marron
augerville la riviere
autry le chatel
bazoches les gallerandes
gy les nonains
pithiviers le vieil
yevre la ville
yevre la ville
bailleau le pin
berou la mulotiere
beville le comte
fontaine la guyon
fontaine les ribouts
fresnay le comte
loigny la bataille
marolles les buis
meslay le grenet
moinville la jeulin
nogent le roi
nogent le rotrou
prunay le gillon
tremblay les villages
tremblay les villages
bazoches les hautes
fresnay le gilmert
fresnay l eveque
houville la branche
meslay le vidame
lucay le libre
nuret le ferron
badecon le pin
avrille les ponceaux
cere la ronde
cravant les coteaux
faye la vineuse
neuille le lierre
neuilly le brignon
rouvres les bois
chateau la valliere
esves le moutier
neuvy le roi
nouan le fuzelier
oucques la nouvelle
beauce la romaine
thore la rochette
coulommiers la tour
vievy le raye
aulnay la riviere
fleury les aubrais
intville la guetard
pithiviers le vieil
rozoy le vieil
bazoches les gallerandes
beaune la rolande
bucy le roi
chambon la foret
jouy le potier
ouvrouer les champs
plourin les morlaix
essigny le petit
pont l abbe
clermont les fermes
coucy les eppes
coucy la ville
cuiry les iviers
essigny le grand
forges la foret
plestin les greves
ploeuc l hermitage
cuiry les chaudardes
dizy le gros
plestin les greves
plelan le petit
pommerit le vicomte
cys la commune
villers le sec
bazouges la perouse
plelan le grand
trans la foret
vezin le coquet
ploeuc l hermitage
yvignac la tour
poce les bois
montreuil le gast
flavy le martel
goudelancourt les berrieux
logny les aubenton
castillon la bataille
cours les bains
fontaine les vervins
lucy le bocage
monceau les leups
monceau le waast
digne les bains
benesse les dax
boisne la tude
boisne la tude
gensac la pallue
morcenx la nouvelle
tercis les bains
bassignac le haut
bort les orgues
brignac la plaine
brive la gaillarde
champagnac la noaille
gimel les cascades
roche le peyroux
hautefage la tour
boisne la tude
antezant la chapelle
villars les bois
lavaveix les mines
lioux les monges
bassignac le bas
champagnac la prune
campagnac les quercy
castelnaud la chapelle
marcillac la croisille
servieres le chateau
montagnac la crempse
fesmy le sart
fresnoy le grand
landouzy la ville
ainay le chateau
creuzier le neuf
digne les bains
castelnaud la chapelle
chateau l eveque
fesmy le sart
magny la fosse
missy les pierrepont
criteuil la magdeleine
juillac le coq
marillac le franc
montignac le coq
blanzac les matha
neuvicq le chateau
nieul les saintes
villeneuve la comtesse
villeneuve la comtesse
meyrignac l eglise
perpezac le noir
queyssac les vignes
antezant la chapelle
montlieu la garde
nieul le virouil
allas les mines
sarlat la caneda
cambo les bains
chanac les mines
collonges la rouge
bosmoreau les mines
chatelus le marcheix
dun le palestel
evaux les bains
mansat la courriere
montaigut le blanc
ogeu les bains
peyzac le moustier
fontaine les clercs
goudelancourt les pierrepont
landouzy la cour
chirat l eglise
creuzier le vieux
neris les bains
neuilly le real
assais les jumeaux
nueil les aubiers
paizay le chapt
prailles la couarde
gardes le pontaroux
villiers le roux
asnieres la giraud
bourcefranc le chapus
breuil la reorte
loire les marais
marcillac la croze
perpezac le blanc
boivre la vallee
boivre la vallee
lussac les chateaux
salon la tour
segur le chateau
arnac la poste
azat le ris
bonnac la cote
brigueil le chantre
lussac les eglises
champagne le sec
boivre la vallee
bosmie l aiguille
champagnac la riviere
chateauneuf la foret
cognac la foret
jabreilles les bordes
ladignac le long
benevent l abbaye
faux la montagne
magnat l etrange
peyrat la noniere
pontenx les forges
jumilhac le grand
savignac les eglises
azay le brule
nueil les aubiers
cubzac les ponts
andernos les bains
ayguemorte les graves
assais les jumeaux
clussais la pommeraie
prailles la couarde
nieuil l espoir
dompierre les eglises
peyrat le chateau
faye l abbesse
morcenx la nouvelle
morcenx la nouvelle
morcenx la nouvelle
prechacq les bains
fontaine le comte
leigne les bois
eugenie les bains
gamarde les bains
pujo le plan
sorde l abbaye
coussay les bois
boivre la vallee
paizay le sec
sauveterre la lemance
bage le chatel
chatillon la palud
villars les dombes
artaise le vivier
signy l abbaye
signy l abbaye
gignac la nerthe
gignac la nerthe
chateauneuf les martigues
chateauneuf les martigues
ensues la redonne
roquefort la bedoule
septemes les vallons
septemes les vallons
signy le petit
thin le moutier
carry le rouet
ensues la redonne
sausset les pins
conde les herpy
sault les rethel
signy le petit
berre l etang
maussane les alpilles
roquefort la bedoule
herpy l arlesienne
villers le tilleul
villers le tourneur
carry le rouet
chateauneuf le rouge
cuges les pins
morieres les avignon
camps la source
meounes les montrieux
nans les pins
crillon le brave
vaison la romaine
bormes les mimosas
sillans la cascade
pernes les fontaines
mejannes le clap
montaigu le blin
brouzet les quissac
clermont le fort
encausse les thermes
balaruc les bains
montastruc la conseillere
conde les autry
dom le mesnil
nezignan l eveque
bourbon l archambault
remilly les pothees
villemagne l argentiere
villeneuve les beziers
deneuille les chantelle
alet les bains
balaruc le vieux
clermont l herault
murviel les beziers
villeneuve la comptal
villeneuve les montreal
brousse le chateau
livinhac le haut
muret le chateau
onet le chateau
tremblois les rocroi
vaux les mouron
vaux les mouzon
vieux les asfeld
rennes les bains
luc la primaube
onet le chateau
peyrusse le roc
salles la source
bellefont la rauze
hures la parade
bellefont la rauze
albaret le comtal
corbere les cabanes
pezilla la riviere
paray le fresil
cruzilles les mepillat
aubigny les pothees
auvillers les forges
dom le mesnil
lepron les vallees
sevigny la foret
buxieres les mines
deneuille les mines
greoux les bains
fajac la relenque
rennes le chateau
villeneuve les corbieres
almont les junies
morlhon le haut
vabres l abbaye
tremblois les carignan
florentin la capelle
luc la primaube
corneilla la riviere
vernet les bains
salses le chateau
divonne les bains
montcombroux les mines
bezaudun les alpes
auvillers les forges
bar les buzancy
blanzy la salonnaise
bossus les rumigny
vaux les rubigny
ferrals les corbieres
allegre les fumades
gaja la selve
gallargues le montueux
laudun l ardoise
mejannes les ales
port la nouvelle
ribaute les tavernes
onet le chateau
villeneuve les bouloc
blaye les mines
cagnac les mines
castanet le haut
cazouls les beziers
ferrals les montagnes
lamalou les bains
lieuran les beziers
murviel les montpellier
palavas les flots
viviers les montagnes
cambon les lavaur
taussac la billiere
thezan les beziers
vic la gardiole
guitalens l albarede
villeneuve les maguelone
molitg les bains
montalba le chateau
villeneuve la riviere
bellefont la rauze
puy l eveque
branoux les taillades
brouzet les ales
laudun l ardoise
maruejols les gardon
vic le fesq
villeneuve les avignon
arblade le bas
arblade le haut
montaut les creneaux
castelnau le lez
ferrieres les verreries
lezignan la cebe
pezenes les mines
prades le lez
villeneuve les beziers
viols le fort
guitalens l albarede
viviers les lavaur
villeneuve les lavaur
frayssinet le gelat
cheylard l eveque
guitera les bains
arcis le ponsart
bettancourt la longue
billy le grand
bussy le chateau
ecury le repos
nanteuil la foret
pargny les reims
rilly la montagne
vanault les dames
vienne la ville
villers le sec
vitry la ville
bourbonne les bains
braux le chatel
buxieres les villiers
colmier le bas
dommartin le franc
harreville les chanteurs
ormoy les sexfontaines
osne le val
poinson les grancey
pont la ville
thonnance les moulins
troisfontaines la ville
troisfontaines la ville
villegusien le lac
villiers le sec
allondrelle la malmaison
blenod les toul
colombey les belles
essey la cote
fontenoy la joute
raon les leau
vandoeuvre les nancy
vannes le chatel
villers la chevre
bailly le franc
chauffour les bailly
burey la cote
savines le lac
longpre le sec
han les juvigny
revest les roches
ire le sec
montceaux les vaudes
montmartin le haut
koeur la petite
origny le sec
plancy l abbaye
pouan les vallees
rigny le ferron
meligny le grand
neuville les vaucouleurs
villenauxe la grande
rigny la salle
cousances les triconville
vigneulles les hattonchatel
villers les mangiennes
audun le tiche
breistroff la grande
coin les cuvry
contz les bains
gueblange les dieuze
hellering les fenetrange
lorry les metz
maizieres les metz
marimont les benestroff
neunkirchen les bouzonville
